train:0.002592678569451711,validation:0.0033791472152289418
train:0.002796121119460152,validation:0.0026263971554322373
train:0.0029208444936487535,validation:0.002752805646095011
train:0.002839493851822156,validation:0.003730695875775483
train:0.002879388195431822,validation:0.0029479379558728803
train:0.0031391200225718402,validation:0.0028220978565514088
train:0.002961410744279459,validation:0.0038941950123343202
train:0.0029993182672494716,validation:0.002844359027221799
train:0.003176898669942722,validation:0.0031625933738218415
train:0.00284651576305975,validation:0.0036241617312447894
train:0.003150929236313799,validation:0.0027450392177949348
train:0.002860324314007392,validation:0.003337496736397346
train:0.0026492989330378536,validation:0.002780785111503469
train:0.002827836148144043,validation:0.002826822249011861
train:0.0024577370079766426,validation:0.0029272413553877007
train:0.0025799440521910625,validation:0.0024702168949362305
train:0.0026023686354324877,validation:0.0029622180283897454
train:0.0025207874951065404,validation:0.0028010565373632642
train:0.002735368879307266,validation:0.0026353617302245563
train:0.0027365161382316887,validation:0.0031001729528523153
train:0.002663329824457293,validation:0.0028691130379835763
train:0.00268082187516144,validation:0.002571069583710697
train:0.002590889835238948,validation:0.002787453846799003
train:0.002438734620707212,validation:0.002859598853521877
train:0.0024885892110702757,validation:0.0027016371281610597
train:0.002623413956805982,validation:0.0026764448007775676
train:0.0025741396865879116,validation:0.0028941911231312486
train:0.002488451688755099,validation:0.002862640113259355
train:0.0024835960875562095,validation:0.0024661582299611634
train:0.002388712582894816,validation:0.002484346662337581
train:0.002276718210950903,validation:0.0026583443654494155
train:0.002296972775494086,validation:0.002373466255246765
train:0.0023296635833333483,validation:0.002355582624052962
train:0.002274871257563623,validation:0.0025953547511663702
train:0.0022802281597690596,validation:0.0024537633483608565
train:0.002352398634724483,validation:0.002408871789359384
train:0.0023607567354402208,validation:0.0022949918509564465
train:0.0025720014032181147,validation:0.0034471570721103083
train:0.0029902648856187913,validation:0.004519101128809982
train:0.0035614391870714807,validation:0.0027073135651234123
train:0.0040985886135476305,validation:0.00332481207119094
train:0.003036170624769651,validation:0.005541087335182561
train:0.004558448137326555,validation:0.002802870753738615
train:0.0030261726530555347,validation:0.004955374739236302
train:0.00440298448122301,validation:0.0030907540996041563
train:0.002689433415870663,validation:0.00403626211401489
train:0.004633622929699473,validation:0.004491275952508052
train:0.0029448631186304347,validation:0.0028245976298219627
train:0.003987790845273124,validation:0.005100086641808351
train:0.0033794710166997963,validation:0.002483639956658913
train:0.0032900973187329676,validation:0.004391796369519498
train:0.004141095166022961,validation:0.002818092212287916
train:0.00247695353931164,validation:0.0034196426471074424
train:0.003930365526025275,validation:0.0038140867836773396
train:0.0025789732456330088,validation:0.002577682827702827
train:0.0031589432274103982,validation:0.004265245671073596
train:0.003452370924476002,validation:0.0029911251169525916
train:0.0026214478453007208,validation:0.0032387505440662303
train:0.003711375172485362,validation:0.0034972168505191803
train:0.0025773717008612967,validation:0.0027093222985665
train:0.0032041399793412825,validation:0.004201415822737747
train:0.0032065364245611886,validation:0.0026937403405706086
train:0.002624305015030716,validation:0.0033386105205863714
train:0.003187823278194928,validation:0.002787310035071439
train:0.0023696477343277127,validation:0.002647036841760079
train:0.0027383486510019054,validation:0.003325584422176083
train:0.0027852279868406746,validation:0.0027337190436406266
train:0.002324432717984194,validation:0.0024346585075060525
train:0.0023826541005541662,validation:0.002594118006527424
train:0.0023487135729558027,validation:0.002454652450978756
train:0.002265375839280231,validation:0.002577148507245713
train:0.0023165551873926935,validation:0.00246516154665086
train:0.0022815901448356582,validation:0.0025402463506907225
train:0.002337676550998547,validation:0.002451283844291336
train:0.0022748921521949573,validation:0.002566790570401483
train:0.0022985149996232364,validation:0.002447029847341279
