train:0.10783136182505151,validation:0.11312971512476604
train:0.10817122103079506,validation:0.11297017087539037
train:0.10758304595947266,validation:0.1123964289824168
train:0.10649581059165623,validation:0.11210540185372035
train:0.10573842473652052,validation:0.11269817998011906
train:0.10566418132056361,validation:0.11383273204167683
train:0.10624839073937872,validation:0.11492377519607544
train:0.10706987393938977,validation:0.11569671581188838
train:0.10759074500073558,validation:0.11597270021835963
train:0.1074169265187305,validation:0.11551124105850856
train:0.10650203182645467,validation:0.11440062026182811
train:0.10557557804429013,validation:0.11344863722721736
train:0.10543177568394205,validation:0.1125290518005689
train:0.1061305173713228,validation:0.17103477815786997
train:1.0143692733153054,validation:0.11319395651419957
train:0.10908146623684012,validation:0.11469963441292445
train:0.11099813133478165,validation:0.11635158210992813
train:0.1122007719848467,validation:0.11782487978537877
train:0.11322117758833844,validation:0.119698499639829
train:0.11466524555631306,validation:0.12229467928409576
train:0.11749233273060425,validation:0.12534351646900177
train:0.12302203055309213,validation:0.1308446725209554
train:0.1288685811602551,validation:0.1378720502058665
train:0.13415273311345474,validation:0.1416864146788915
train:0.135930344786333,validation:0.14315855503082275
train:0.13720355312461438,validation:0.14442301789919534
train:0.13831959826790768,validation:0.1455808182557424
train:0.13916664052268732,validation:0.14640148977438608
train:0.13986193097156027,validation:0.14715653161207834
train:0.14055130857488382,validation:0.14792858064174652
train:0.14129045152145883,validation:0.1488237977027893
train:0.142102577764055,validation:0.14967021842797598
train:0.14357484909503357,validation:0.1506247321764628
train:0.14477669933567877,validation:0.1516578495502472
train:0.1448089907998624,validation:0.15274744232495627
train:0.14582731866318246,validation:0.15386294821898142
train:0.14688692436270093,validation:0.15503441790739694
train:0.14799503398978192,validation:0.1563295672337214
train:0.14924993236427722,validation:0.1576368808746338
train:0.1504280136331268,validation:0.15892445544401804
train:0.15163172619498294,validation:0.1600800355275472
train:0.1525917697859847,validation:0.161114235719045
train:0.15356488623048947,validation:0.16230312983194986
train:0.15466245846903842,validation:0.1634019911289215
train:0.15572953418545102,validation:0.16449269652366638
train:0.1567963118786397,validation:0.16566114127635956
train:0.15788060264742892,validation:0.16673138240973154
train:0.15888728654902914,validation:0.16778454184532166
train:0.15992224378430325,validation:0.16888042291005453
train:0.16095975559690726,validation:0.16994855801264444
train:0.16198384113933728,validation:0.17100785672664642
train:0.1630097643836685,validation:0.17206667363643646
train:0.164035111989664,validation:0.17312544087568918
train:0.16506387617277063,validation:0.1741866817077001
train:0.16609633778748306,validation:0.1752506544192632
train:0.1671317213255426,validation:0.1763161967198054
train:0.16816736077484878,validation:0.17737958331902823
train:0.16919783729573953,validation:0.17843467990557352
train:0.17021670937538147,validation:0.17947661379973093
train:0.17122262327567392,validation:0.18050909539063772
train:0.17222445814505868,validation:0.181545560558637
train:0.17323491949102152,validation:0.18259712060292563
train:0.1742587193198826,validation:0.18366446097691855
train:0.17529207046913065,validation:0.18474199871222177
train:0.17633081324722455,validation:0.1858269323905309
train:0.17737725117932196,validation:0.18692321081956229
train:0.1784379702547322,validation:0.1880346486965815
train:0.17951481173867764,validation:0.18915768961111704
train:0.18060148798901102,validation:0.19028163452943167
train:0.1816864998444267,validation:0.19139316181341806
train:0.18275727785151938,validation:0.1924809366464615
train:0.18380484017341034,validation:0.1935403198003769
train:0.1848284971454869,validation:0.1945767949024836
train:0.18583752668422202,validation:0.19560323158899942
train:0.18684431521788888,validation:0.19662938018639883
train:0.18785391877526822,validation:0.19765510658423105
train:0.1888617788967879,validation:0.1986730843782425
train:0.18985862122929614,validation:0.19967501858870187
train:0.19083698353041773,validation:0.20065767566363016
train:0.1917966678738594,validation:0.20162558058897653
train:0.19274564702873645,validation:0.20259079337120056
train:0.19369368060775424,validation:0.2035632481177648
train:0.19464444595834482,validation:0.2045429696639379
train:0.1955909243096476,validation:0.20550350348154703
train:0.19650232791900635,validation:0.20641433199246725
